Class,Order,Family,Genus,Species,Common.Name,X.M.F.Both.,Length..cm.,Height,Diet,Feeding.Guild,Habitat,Water.Column,reference
Actinopterygii,Beloniformes,Zenarchopteridae,Zenarchopterus,dispar,Feathered river-garfish,Both,NA,NA,NA,NA,"Estuaries, coral reefs, mangroves",Benthic,https://www.fishbase.se/photos/ThumbnailsSummary.php?ID=9648
Actinopterygii,Perciformes ,Acanthuridae,Zebrasoma ,desjardinii,Desjardin's sailfin tang,Both,22.1,8.64,Algae,Herbivore,"Lagoons, seaward reefs",Benthopelagic,https://www.fishbase.se/photos/PicturesSummary.php?need2save=&tosave=&TRPP=1&id=58791&what=species&personnel=&user_session=&lme=&StartRow=6&TotRec=9&SortBy=iucn
Actinopterygii,Perciformes ,Acanthuridae,Zebrasoma ,scopas,Brushtail tang,Both,28.4,9.87,Algae,Herbivore,"Lagoons, seaward reefs",Benthopelagic,
Actinopterygii,Perciformes ,Acanthuridae,Zebrasoma ,flavescens,Yellow tang ,Both,18.3,8.2,Algae,Herbivore,"Lagoons, seaward reefs",Benthopelagic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=3&ID=6018&what=species&TotRec=6
Actinopterygii,Perciformes ,Acanthuridae,Zebrasoma ,xanthurum,Yellow-tail surgeonfish,Both,14.9,7.18,Algae,Herbivore,Reefs,Benthopelagic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=2&ID=12023&what=species&TotRec=8
Actinopterygii,Perciformes ,Acanthuridae,Zebrasoma ,rostratum,Longnose surgeonfish,Both,21,7.97,Algae,Herbivore,"Lagoons, seaward reefs",Benthopelagic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=0&ID=25802&what=species&TotRec=2
Actinopterygii,Perciformes ,Zanclidae,Zanclus,cornutus,Moorish idol,,,,,"Herbivore, invertivore",,Benthopelagic,
Actinopterygii,Eupercaria,Labridae,Wetmorella,albofasciata,Whitebanded sharpnose wrasse,Both,4.1,1.22,Unknown,Invertivore,"Lagoons, seaward reefs","Benthic, benthopelagic",https://www.fishbase.se/photos/PicturesSummary.php?StartRow=0&ID=4869&what=species&TotRec=3
Actinopterygii,Eupercaria,Labridae,Wetmorella,nigropinnata,Sharpnose wrasse,Both,5.4,1.67,Invertebrates,Invertivore,"Lagoons, seaward reefs",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=1&ID=4870&what=species&TotRec=8
Actinopterygii,Pecriformes,Serranidae,Variola ,louti,Yellow-edged lyretail,Both,38.1,9.12,"Fishes, crabs, shrimps, stomatopods","Invertivore, piscivore","Lagoons, outer reefs",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=4&ID=5354&what=species&TotRec=9
Actinopterygii,Pecriformes,Serranidae,Variola ,albimarginata,White-edged lyretail,Both,4.5,1.3,Fishes,Piscivore,"Coastal reefs, lagoons, outer reefs",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=3&ID=6478&what=species&TotRec=9
Actinopterygii,Perciformes ,Gobiidae,Valenciennea,strigata,Blueband goby,,,,,"Piscivore, Invertivore",,Benthic,
Actinopterygii,Mugiliformes,Mugilidae,Valamugil,engeli,Kanda,Both,13.5,2.82,Unknown,Omnivore,"Sandy, muddy reef flats, near coral reefs",Benthopelagic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=2&ID=5658&what=species&TotRec=4
Actinopterygii,Mugiliformes,Mugilidae,Valamugil,seheli,Bluespot mullet,Both,30.2,6.15,"Algae, diatoms",Omnivore,"Coastal waters, estuaries",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=0&ID=5659&what=species&TotRec=4
Actinopterygii,Carangiformes,Carangidae,Uraspis,helvola,Whitetongue jack,Both,26.1,10.46,Unknown,"Invertivore, piscivore","Offshore pinnacles, reefs",Benthopelagic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=1&ID=1983&what=species&TotRec=7
Actinopterygii,Perciformes ,Mullidae,Upeneus,moluccensis,Goldband goatfish,Both,16.5,3.63,Benthic invertebrates,Invertivore,Coastal waters,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?ID=4444&what=species
Actinopterygii,Perciformes ,Mullidae,Upeneus,vittatus,Yellow-striped goatfish,Both,19.6,4.08,Benthic invertebrates,Invertivore,Sandy Lagoons,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?need2save=&tosave=&TRPP=1&id=4821&what=species&personnel=&user_session=&lme=&StartRow=3&TotRec=7&SortBy=iucn
Actinopterygii,Beloniformes,Belonidae,Tylosurus,crocodilus,Hound needlefish,Both,65,3.32,Fishes,Piscivore,"Lagoons, near inshore reefs",Pelagic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=2&ID=977&what=species&TotRec=7
Actinopterygii,Carangiformes,Carangidae,Trachinotus,baillonii,Small spotted dart,Both,27.2,8.39,Small fishes,Piscivore,Coastal waters,Pelagic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=4&ID=1978&what=species&TotRec=9
Actinopterygii,Carangiformes,Carangidae,Trachinotus,blochi,Snubnose pompano,Both,19.9,9.23,"Molluscs, hard-shelled invertebrates",Invertivore,Coral and rocky reefs,Benthopelagic (?),https://www.fishbase.se/photos/PicturesSummary.php?StartRow=3&ID=1963&what=species&TotRec=14
Actinopterygii,Carangaria,Toxotidae,Toxotes,jaculatrix,Banded archerfish,Both,25.6,9.14,"Insects, vegetable matter",Invertivore,Coral reefs adjacent to mangroves,Pelagic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=3&ID=8229&what=species&TotRec=7
Actinopterygii,Carangiformes,Scombridae,Thunnus,albacares,Yellowfin tuna,Both,25.4,5.97,"Fishes, squids, crustaceans","Invertivore, piscivore","Oceanic, near reefs",Pelagic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=2&ID=143&what=species&TotRec=11
Actinopterygii,Eupercaria,Labridae,Thalassoma,jansenii,Jansen's wrasse,Both,9.2,2.24,Unknown,Invertivore,"Coastal, lagoon, outer reefs",,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=3&ID=5644&what=species&TotRec=9
Actinopterygii,Eupercaria,Labridae,Thalassoma,trilobatum,Christmas wrasse,M,20.3,6.04,"Crustaceans, mollusks, ophiurids",Invertivore,"Shallow reefs, rocky shores",Benthopelagic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=1&ID=5649&what=species&TotRec=10
Actinopterygii,Eupercaria,Labridae,Thalassoma,trilobatum,Christmas wrasse,F,18.3,4.73,"Crustaceans, mollusks, ophiurids",Invertivore,"Shallow reefs, rocky shores",Benthopelagic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=0&ID=5649&what=species&TotRec=10
Actinopterygii,Eupercaria,Labridae,Thalassoma,lutescens,Yellow-brown wrasse,M,16.4,3.65,Benthic invertebrates,Invertivore,"Lagoons, seaward reefs",Benthopelagic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=4&ID=5646&what=species&TotRec=11
Actinopterygii,Eupercaria,Labridae,Thalassoma,lutescens,Yellow-brown wrasse,F,12.7,3.14,Benthic invertebrates,Invertivore,"Lagoons, seaward reefs",Benthopelagic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=1&ID=5646&what=species&TotRec=11
Actinopterygii,Eupercaria,Labridae,Thalassoma,quinquevittatum,Fivestripe wrasse,M,11.4,2.82,"Crabs, shrimps, fishes, mollusks","Invertivore, piscivore",Seaward reefs,Benthopelagic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=1&ID=5648&what=species&TotRec=4
Actinopterygii,Eupercaria,Labridae,Thalassoma,quinquevittatum,Fivestripe wrasse,F,NA,NA,"Crabs, shrimps, fishes, mollusks","Invertivore, piscivore",Seaward reefs,Benthopelagic,
Actinopterygii,Eupercaria,Labridae,Thalassoma,purpureum,Surge wrasse,M,25.1,6.48,"Fishes, crabs, Molluskss, echinoides, polycheates","Invertivore, piscivore","Reef flats, rocky coasts",Benthopelagic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=4&ID=5647&what=species&TotRec=20
Actinopterygii,Eupercaria,Labridae,Thalassoma,purpureum,Surge wrasse,F,18.3,5.34,"Fishes, crabs, Molluskss, echinoides, polycheates","Invertivore, piscivore","Reef flats, rocky coasts",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=1&ID=5647&what=species&TotRec=20
Actinopterygii,Eupercaria,Labridae,Thalassoma,hardwicke,Sixbar wrasse,Both,17.3,4.82,"Crustaceans, small fishes, foraminiferans","Invertivore, piscivore","Coastal, lagoons, outer reefs",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=1&ID=5643&what=species&TotRec=3
Actinopterygii,Eupercaria,Labridae,Thalassoma,lunare,Moon wrasse,M,22.4,5.18,Benthic invertebrates,Invertivore,"Coastal, lagoons, outer reefs",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=4&ID=5645&what=species&TotRec=16
Actinopterygii,Eupercaria,Labridae,Thalassoma,lunare,Moon wrasse,F,NA,NA,Benthic invertebrates,Invertivore,"Coastal, lagoons, outer reefs",Benthic,
Actinopterygii,Eupercaria,Labridae,Thalassoma,amblycephalum,Bluntheaded wrasse,M,14.7,3.15,"Crustaceans, zooplankton",Invertivore,"Lagoons, seaward reefs",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=3&ID=5642&what=species&TotRec=8
Actinopterygii,Eupercaria,Labridae,Thalassoma,amblycephalum,Bluntheaded wrasse,F,9.6,1.99,"Crustaceans, zooplankton",Invertivore,"Lagoons, seaward reefs",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=1&ID=5642&what=species&TotRec=8
Actinopterygii,Eupercaria,Labridae,Thalassoma,genivittatum,Red-cheek wrasse,M,16.3,3.68,Unknown,Invertivore,Rocky reefs,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?ID=25809&what=species
Actinopterygii,Eupercaria,Labridae,Thalassoma,genivittatum,Red-cheek wrasse,F,12.7,3.33,Unknown,Invertivore,Rocky reefs,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=1&ID=25809&what=species&TotRec=3
Actinopterygii,Eupercaria,Labridae,Thalassoma,duperrey,Saddle wrasse,Both,5.3,1.21,"Benthic invertebrates, small fishes","Invertivore, piscivore","Lagoons, seaward reefs",Benthopelagic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=3&ID=7770&what=species&TotRec=9
Actinopterygii,Eupercaria,Labridae,Thalassoma,hebraicum,Goldbar wrasse,Both,9.6,2.56,Unknown,Invertivore,"Lagoons, seaward reefs",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=1&ID=8019&what=species&TotRec=5
Actinopterygii,Eupercaria,Labridae,Thalassoma,ballieui,Blacktail wrasse,Both,26.2,7.46,"Benthic invertebrates, small fishes","Invertivore, piscivore","Lagoons, seaward reefs",Benthopelagic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=2&ID=7771&what=species&TotRec=4
Actinopterygii,Eupercaria,Labridae,Thalassoma,klunzingeri,Klunzinger's wrasse,Both,16.7,4.44,Unknown,Invertivore,"Reef margins, seaward slopes",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=0&ID=25787&what=species&TotRec=3
Actinopterygii,Centrarchiformes,Terapontidae,Terapon,jarbua,Jarbua terapon,Both,10.9,3.2,"Fishes, insects, algae, invertebrates","Invertivore, piscivore, herbivore","Estuaries, stream mouths, along sandy beaches",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=2&ID=4458&what=species&TotRec=11
Actinopterygii,Perciformes ,Synodontinae,Synodus,dermatogenys,Sand lizardfish,,,,,Piscivore,,Benthic,
Actinopterygii,Perciformes ,Synodontinae,Synodus,variegatus,Variegated lizardfish,,,,,Piscivore,,Benthic,
Actinopterygii,Perciformes,Lutjanidae,Symphorus,nematophorus,Chinamanfish,Both,8.8,3.087,Unknown,Piscivore,Coastal reefs,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=2&ID=215&what=species&TotRec=4
Actinopterygii,Perciformes,Lutjanidae,Symphorichtys,spilurus,Sailfin Snapper,Both,39.4,15.964,Unknown,"Invertivore, Piscivore","Sand bottoms, coral reefs",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=3&ID=214&what=species&TotRec=6
Actinopterygii,Perciformes ,Balistidae,Suflamen,chrysoterum,,,,,,Invertivore,,Benthic,
Actinopterygii,Perciformes ,Balistidae,Sufflamen,albicaudatum,Bluethroat triggerfish,,,,,Invertivore,,Benthic,
Actinopterygii,Perciformes ,Balistidae,Sufflamen,bursa,Boomerang triggerfish,,,,,Invertivore,,Benthic,
Actinopterygii,Perciformes ,Balistidae,Sufflamen,chrysopterum,,,,,,Invertivore,,Benthic,
Actinopterygii,Perciformes ,Balistidae,Sufflamen,fraenatum,,,,,,Invertivore,,Benthic,
Actinopterygii,Eupercaria,Labridae,Suezichthys,arquatus,Rainbow slender wrasse,Both,9,2.08,Unknown,Invertivore,Sand patches of shallow reefs,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?ID=4412&what=species
Actinopterygii,Eupercaria,Labridae,Suezichthys,gracilis,Slender wrasse,Both,10.3,2.14,"Amphipods, small crustaceans, polychaetes",Invertivore,"Coral patches, rock patches",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=4&ID=4407&what=species&TotRec=12
Actinopterygii,Beloniformes,Belonidae,Strongylura,incisa,Reef needlefish,Both,NA,NA,NA,NA,"Near surface lagoons, inshore reefs",,https://www.fishbase.se/photos/ThumbnailsSummary.php?ID=8121
Actinopterygii,Eupercaria,Labridae,Stethojulis,bandanensis,Red shoulder wrasse ,M,8.4,2.12,"Planktonic crustaceans, invertebrates","Invertivore, planktivore","Reef flats, coastal shallows",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=1&ID=5640&what=species&TotRec=9
Actinopterygii,Eupercaria,Labridae,Stethojulis,bandanensis,Red shoulder wrasse ,F,NA,NA,"Planktonic crustaceans, invertebrates","Invertivore, planktivore","Reef flats, coastal shallows",Benthic,
Actinopterygii,Eupercaria,Labridae,Stethojulis,strigiventer,Three-ribbon wrasse,M,8.2,1.96,Unknown,Invertivore,"Sand mixed with seagrass, reef flats",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=0&ID=5641&what=species&TotRec=4
Actinopterygii,Eupercaria,Labridae,Stethojulis,strigiventer,Three-ribbon wrasse,F,6.6,1.55,Unknown,Invertivore,"Sand mixed with seagrass, reef flats",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?ID=5641&what=species
Actinopterygii,Eupercaria,Labridae,Stethojulis,trilineata,Three-lined rainbowfish,M,10.9,3.02,Unknown,Invertivore,Shallow clear water reefs,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=3&ID=6622&what=species&TotRec=7
Actinopterygii,Eupercaria,Labridae,Stethojulis,trilineata,Three-lined rainbowfish,F,10.9,3.28,Unknown,Invertivore,Shallow clear water reefs,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=1&ID=6622&what=species&TotRec=7
Actinopterygii,Eupercaria,Labridae,Stethojulis,interrupta,Cutribbon wrasse,M,11.7,2.81,Unknown,Invertivore,"Reef flats, coastal shallows",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=6&ID=6633&what=species&TotRec=16
Actinopterygii,Eupercaria,Labridae,Stethojulis,interrupta,Cutribbon wrasse,F,5.8,1.18,Unknown,Invertivore,"Reef flats, coastal shallows",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=3&ID=6633&what=species&TotRec=16
Actinopterygii,Eupercaria,Labridae,Stethojulis,albovittata,Bluelined wrasse,M,9.9,2.64,"Crustaceans, mollusks",Invertivore,"Reef flats, lagoons, seaward reefs",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=3&ID=8025&what=species&TotRec=5
Actinopterygii,Eupercaria,Labridae,Stethojulis,albovittata,Bluelined wrasse,F,10.7,2.95,"Crustaceans, mollusks",Invertivore,"Reef flats, lagoons, seaward reefs",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=2&ID=8025&what=species&TotRec=5
Actinopterygii,Eupercaria,Labridae,Stethojulis,balteata,Belted wrasse,Both,9.9,2.99,"Crustaceans, bivlaves, worms",Invertivore,"Reef flats, lagoons, seaward reefs",Benthopelagic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=2&ID=7828&what=species&TotRec=4
Actinopterygii,Perciformes,Pomacentridae,Stegastes,obreptus,Western Gregory,Both,15.5,6.592,Algae,Herbivore,Shoreline and lagoon reefs,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=3&ID=4353&what=species&TotRec=6
Actinopterygii,Perciformes,Pomacentridae,Stegastes,fasciolatus,Pacific Gregory,Both,10.7,4.63,Algae,Herbivore,Rock and coral reefs,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=2&ID=4347&what=species&TotRec=13
Actinopterygii,Perciformes,Pomacentridae,Stegastes,gascoynei,Coral Sea Gregory,Both,13.7,5.442,Unknown,Unknown,Coral and rock reefs,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=0&ID=4348&what=species&TotRec=2
Actinopterygii,Perciformes,Pomacentridae,Stegastes,aureus,Golden Gregory,Both,9.7,3.719,Unknown,Unknown,"Reef flats, lagoons and outer reefs",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?ID=4345&what=species
Actinopterygii,Perciformes,Pomacentridae,Stegastes,lividus,Bluntsnout Gregory,Both,8.373,3.543,Unknown,Unknown,Shallow reefs,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?ID=58951&what=species
Actinopterygii,Perciformes,Pomacentridae,Stegastes,nigricans,Dusky Gregory,Both,4.7,1.851,"Algae, gastropods, sponges and copepods","Herbivore, Invertivore",,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=3&ID=4352&what=species&TotRec=7
Actinopterygii,Perciformes,Pomacentridae,Stegastes,altus,Japanese Gregory,Both,5.1,2.03,Algae,Herbivore,Shoreline reefs,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=0&ID=4343&what=species&TotRec=3
Actinopterygii,Perciformes,Pomacentridae,Stegastes,apicalis,Australian Gregory,Both,13,5.354,Unknown,Unknown,Coastal reefs,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?ID=4344&what=species
Actinopterygii,Perciformes,Pomacentridae,Stegastes,albifasciatus,Whitebar Gregory,Both,11,4.512,Algae,Herbivore,"Reef flats, shallow lagoons",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=0&ID=4340&what=species&TotRec=4
Actinopterygii,Carangiformes,Sphyraenidae,Sphyraena,flavicauda,Yellowtail barracuda,Both,42,4.92,Unknown,Piscivore,"Coastal reefs, lagoons, outer slopes",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=7&ID=7937&what=species&TotRec=11
Actinopterygii,Carangiformes,Sphyraenidae,Sphyraena,helleri,Heller's barracuda,Both,63,7.36,Unknown,Piscivore,"Coastal, lagoon, outer reefs",Benthic (?),https://www.fishbase.se/photos/PicturesSummary.php?ID=6649&what=species
Actinopterygii,Carangiformes,Sphyraenidae,Sphyraena,forsteri,Bigeye barracuda,Both,41.5,4.84,"Fishes, shrimps, squid","Invertivore, piscivore","Reefs, outer reef slopes",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=2&ID=5734&what=species&TotRec=9
Actinopterygii,Carangiformes,Sphyraenidae,Sphyraena,barracuda,Great barracuda,Both,52.3,6.71,"Fishes, cephalopods, shrimps","Invertivore, piscivore","Reefs, shallow waters",Pelagic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=7&ID=1235&what=species&TotRec=20
Actinopterygii,Carangiformes,Sphyraenidae,Sphyraena,jello,Pickhandle barracuda,Both,44.1,4.63,"Fishes, squids","Invertivore, piscivore","Coastals, lagoons, outer reefs",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=0&ID=4827&what=species&TotRec=10
Actinopterygii,Carangiformes,Sphyraenidae,Sphyraena,qenie,Blackfin barracuda,Both,41.7,5.06,Fishes,Piscivore,Seaward reefs,Benthic (?),https://www.fishbase.se/photos/PicturesSummary.php?StartRow=9&ID=7939&what=species&TotRec=13
Actinopterygii,Carangiformes,Sphyraenidae,Sphyraena,acutipinnis,Sharpfin barracuda,Both,20,2.34,Unknown,"Invertivore, piscivore","Lagoons, seaward reefs",,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=0&ID=5733&what=species&TotRec=6
Actinopterygii,Carangiformes,Sphyraenidae,Sphyraena,putnamiae,Sawtooth barracuda,Both,45.6,5.23,Unknown,"Invertivore, piscivore","Lagoons, seaward reefs",,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=2&ID=7938&what=species&TotRec=8
Actinopterygii,Perciformes ,Scaridae,Sparisoma,chrysopterum,Redtail parrotfish,,,,,Herbivore,,Benthopelagic,
Actinopterygii,Perciformes ,Siganidae,Siganus,doliatus,Barred spinefoot,,,,,Herbivore,,Benthic,
Actinopterygii,Perciformes ,Siganidae,Siganus,guttatus,Orange-spotted spinefoot,,,,,"Herbivore, invertivore",,Benthic,
Actinopterygii,Perciformes ,Siganidae,Siganus,puelloides,Blackeye rabbitfish,,,,,"Herbivore, invertivore",,Benthic,
Actinopterygii,Perciformes ,Siganidae,Siganus,sutor,Shoemaker spinefoot,,,,,"Herbivore, invertivore",,Benthic,
Actinopterygii,Pecriformes,Serranidae,Serranocirrhitus,latus,Hawkfish anthias,Both,3.9,1.19,Planktons,Invertivore,Outer reef dropoffs,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=1&ID=10771&what=species&TotRec=4
Actinopterygii,Carangiformes,Carangidae,Seriola,lalandi,Yellowtail amberjack,Both,84.1,16.76,"Small fish, squid, crustacenas","Invertivore, piscivore","Offshore, over reefs",Benthopelagic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=3&ID=382&what=species&TotRec=9
Actinopterygii,Carangiformes,Carangidae,Seriola,dumerili,Greater amberjack,Both,55.9,13.17,"Fishes, invertebrates","Invertivore, piscivore",Reefs,Pelagic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=11&ID=1005&what=species&TotRec=20
Actinopterygii,Carangiformes,Carangidae,Seriola,rivoliana,Longfin yellowtail,Both,66.25,16.21,"Fishes, invertebrates","Invertivore, piscivore",Over reefs,Benthopelagic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=8&ID=1007&what=species&TotRec=16
Actinopterygii,Carangiformes,Carangidae,Selaroides,leptoplepis,Yellowstripe scad,Both,13,3.44,"Ostracods, gastropods, euphausiids",Invertivore,"Inshore waters, reef edges",,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=2&ID=388&what=species&TotRec=7
Actinopterygii,Carangiformes,Carangidae,Selar,boops,Oxeye scad,Both,NA,NA,"Planktons, crabs, shrimps",Invertivore,"Coastal reefs, lagoons, outer slopes",Benthic,https://www.fishbase.se/photos/ThumbnailsSummary.php?ID=1954#
Actinopterygii,Carangiformes,Carangidae,Selar,crumenophthalmus,Bigeye scad,Both,17.9,4.37,"Shrimps, benthic invertebrates, forams, zooplanktons, fish larvae",Invertivore,"Coastal reefs, lagoons",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=7&ID=387&what=species&TotRec=17
Actinopterygii,Carangiformes,Scombridae,Scomberomorus,commerson,Narrow-barred Spanish mackerel,Both,14.4,3.07,"Small fishes, squids, shrimps","Invertivore, piscivore","Shallow coastal waters, near edge of continental shelf",Pelagic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=2&ID=121&what=species&TotRec=11
Actinopterygii,Carangiformes,Carangidae,Scomberoides,commersonnianus,Talang queenfish,Both,56.5,13.17,"Fishes, cephalopods, small invertebrates","Invertivore, piscivore","Coastal reefs, lagoons, outer slopes",Pelagic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=1&ID=1950&what=species&TotRec=9
Actinopterygii,Carangiformes,Carangidae,Scomberoides,lysan,Doublespotted queenfish,Both,36,7.83,"Small fishes, invertebrates","Invertivore, piscivore","Coastal reefs, lagoons, outer slopes",Pelagic,https://www.fishbase.se/photos/PicturesSummary.php?ID=1951&what=species
Actinopterygii,Perciformes,Nemipteridae,Scolopsis,temporalis,Bald-spot monocle bream,Both,15.9,4.09,Unknown,"Invertivore, piscivore",Mixed sands of coastal and lagoon reefs,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=2&ID=5880&what=species&TotRec=6
Actinopterygii,Perciformes,Nemipteridae,Scolopsis,lineata,One-lined monocle bream,Both,18.3,5.72,"Small fishes, benthic invertebrates","Invertivore, piscivore",Sand and rubble fringe in reefs,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=7&ID=5885&what=species&TotRec=11
Actinopterygii,Perciformes,Nemipteridae,Scolopsis,bilineatus,Two-lined monocle bream,Both,18.3,5.72,"Small fishes, benthic invertebrates","Invertivore, piscivore",Sand and rubble fringe in reefs,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=7&ID=5885&what=species&TotRec=11
Actinopterygii,Perciformes,Nemipteridae,Scolopsis,trilineatus,Three-lined monocle bream,Both,16.7,4.4,Unknown,"Invertivore, piscivore",Sheltered coastal reefs,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=1&ID=5881&what=species&TotRec=6
Actinopterygii,Perciformes,Nemipteridae,Scolopsis,taeniopterus,Lattice monocle bream,Both,13.9,3.52,"Small fishes, crustaceans, molluscs","Invertivore, piscivore","Sandy fringe of reefs, muddy estuaries",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=2&ID=5875&what=species&TotRec=8
Actinopterygii,Perciformes,Nemipteridae,Scolopsis,margaritifer,Pearly monocle bream,Both,19,6,"Small fishes, crustaceans, molluscs, polychaetes","Invertivore, piscivore",Sand and rubble fringe of coastal reefs and lagoons,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=2&ID=5878&what=species&TotRec=7
Actinopterygii,Perciformes,Nemipteridae,Scolopsis,ciliatus,Saw-jawed monocle bream,Both,14,3.68,"Benthic invertebrates, small fishes","Invertivore, piscivore","Sandy fringe of coastal reefs, lagoon reefs",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=3&ID=5876&what=species&TotRec=8
Actinopterygii,Perciformes,Nemipteridae,Scolopsis,ghanam,Arabian monocle bream,Both,17.8,4.75,"Crustaceans, molluscs, echinoderms and fishes","Invertivore, piscivore","Coastal reefs, lagoons",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=1&ID=5888&what=species&TotRec=10
Actinopterygii,Perciformes,Nemipteridae,Scolopsis,affinis,Peters' monocle bream,Both,14.5,3.73,Unknown,"Invertivore, piscivore","Sandy bottoms of lagoons, coastal reefs",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=8&ID=5890&what=species&TotRec=12
Actinopterygii,Perciformes,Nemipteridae,Scolopsis,monogramma,Monogrammed monocle bream,Both,29.6,8.5,"Small fishes, crustaceans, molluscs, polychaetes","Invertivore, piscivore","Sandy fringe of coastal reefs, lagoons",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=4&ID=5879&what=species&TotRec=9
Actinopterygii,Perciformes,Nemipteridae,Scolopsis,lineatus,Striped monocle bream,Both,6.4,1.71,"Small fishes, crustaceans,benthic invertebrates","Invertivore, piscivore","Sandy fringe of coastal reefs, lagoons, seaward slopes",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=3&ID=5877&what=species&TotRec=7
