Class,Order,Family,Genus,Species,Common.Name,X.M.F.Both.,Length..cm.,Height,Diet,Feeding.Guild,Habitat,Water.Column,reference
Actinopterygii,Eupercaria,Labridae,Diproctacanthus,xanthurus,Yellowtail tubelip,M,7.6,1.85,Unknown,Invertivore,Sheltered reefs,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=1&ID=5108&what=species&TotRec=4
Actinopterygii,Pecriformes,Serranidae,Diploprion,bifasciatum,Barred soapfish,Both,18,6.85,Fishes,Piscivore,Coastal reefs,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=2&ID=6603&what=species&TotRec=11
Actinopterygii,Eupercaria,Sparidae,Diplodus,noct,Red Sea seabream,Both,12.2,4.26,"Algae, invertebrates","Herbivore, invertivore","Sandy bottoms, coral reefs, shallow waters",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=1&ID=8112&what=species&TotRec=4
Actinopterygii,Eupercaria,Sparidae,Diplodus,cervinus,Zebra seabream,Both,32.7,13.01,"Worms, molluscs, sea weed","Herbivore, invertivore",Mangrove areas,Benthopelagic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=3&ID=2497&what=species&TotRec=9
Actinopterygii,Eupercaria,Haemulidae,Diagramma,sp,Indonesian sweetlips,Both,NA,NA,Unknown,Unknown,"Coastal reefs, lagoons",Benthic,
Actinopterygii,Eupercaria,Haemulidae,Diagramma,pictum,Painted sweetlips,Both,43,13.46,"Benthic invertebrate, fishes","Invertivore, piscivore","Sand bottoms of coastal reefs, lagoons",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=16&ID=4465&what=species&TotRec=28
Actinopterygii,Pecriformes,Serranidae,Dermatolepis,striolata,Smooth grouper,Both,28.8,9.65,Fishes,Piscivore,"Coastal rocky reefs, coral reefs",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=0&ID=6458&what=species&TotRec=6
Actinopterygii,Carangiformes,Carangidae,Decapterus,russelli,Indian scad,Both,32.7,6.64,Planktonic invertebrates,Invertivore,"Near surface lagoons, seaward reefs",Benthopelagic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=2&ID=374&what=species&TotRec=11
Actinopterygii,Carangiformes,Carangidae,Decapterus,macarellus,Mackerel scad,Both,29.2,5.05,Zooplankton,Invertivore,"Coastal, lagoons, outer reefs",Pelagic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=4&ID=993&what=species&TotRec=8
Actinopterygii,Perciformes,Pomacentridae,Dascyllus,flavicaudus,Yellow-tail Dascyllus,Both,9.7,5.046,Zooplankton,Invertivore,Coral and rocky reefs,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=1&ID=11972&what=species&TotRec=5
