individual,time,behaviour
20250127_positive-control_8_38,68368.3,Bite
20250127_positive-control_8_38,73256.51666666666,Bite
20250127_positive-control_8_38,73890.48333333334,Bite
20250127_positive-control_9_39,368034.3333333333,Moving
20250107_barracuda_0_40,51234.51666666667,Moving
20250107_barracuda_0_41,54788.06666666667,Moving
20250107_barracuda_0_41,84017.26666666668,Vigilance
20250107_barracuda_0_41,94878.11666666667,Moving
20250107_barracuda_0_42,60210.15000000001,Moving
20250107_barracuda_0_43,65165.10000000001,Moving
20250107_barracuda_0_43,78962.21666666667,Conspecific aggression
20250107_barracuda_0_44,74257.51666666668,Vigilance
20250107_barracuda_0_45,77944.53333333334,Vigilance
20250107_barracuda_0_46,81197.78333333334,Vigilance
20250107_barracuda_0_47,88188.1,Vigilance
20250107_barracuda_1_48,137754.28333333335,Moving
20250107_barracuda_1_49,154904.75,Moving
20250107_barracuda_1_49,156456.3,Predator avoidance
20250107_barracuda_1_50,173873.7,Moving
20250107_barracuda_2_51,397880.8166666667,Moving
20250107_barracuda_2_52,402618.88333333336,Moving
20250107_barracuda_2_52,422789.0333333333,Vigilance
20250107_barracuda_2_52,429095.3333333334,Moving
20250107_barracuda_2_53,416499.4166666667,Moving
20250107_barracuda_3_54,411661.25,Feeding
20250107_barracuda_3_54,421821.4,Moving
20250107_barracuda_3_54,461010.55000000005,Feeding
20250107_barracuda_3_54,465064.60000000003,Bite
20250107_barracuda_3_54,473523.05,Moving
20250107_barracuda_3_55,413045.9666666667,Moving
20250107_barracuda_3_56,470353.2166666667,Moving
20250107_barracuda_4_57,79212.46666666667,Moving
20250107_barracuda_4_58,81064.31666666667,Moving
20250107_barracuda_4_59,85602.18333333335,Feeding
20250107_barracuda_4_59,85602.18333333335,Bite
20250107_barracuda_4_59,85602.18333333335,Bite
20250107_barracuda_4_59,92008.58333333333,Bite
20250107_barracuda_4_59,92342.25,Bite
20250107_barracuda_4_59,103686.91666666667,Vigilance
20250107_barracuda_4_59,112562.45,Moving
20250107_barracuda_4_60,88655.23333333334,Feeding
20250107_barracuda_4_60,98214.78333333334,Vigilance
20250107_barracuda_4_60,99616.18333333333,Bite
20250107_barracuda_4_60,100216.78333333334,Bite
20250107_barracuda_4_61,94644.55,Vigilance
20250107_barracuda_4_61,101451.35,Moving
20250107_barracuda_4_61,137170.36666666667,Vigilance
20250107_barracuda_4_61,143543.40000000002,Moving
20250107_barracuda_4_61,157740.91666666666,Vigilance
20250107_barracuda_7_62,83266.51666666668,Moving
20250107_barracuda_7_63,85118.36666666667,Moving
20250107_barracuda_7_64,90590.5,Vigilance
20250107_barracuda_7_64,145211.73333333334,Moving
20250107_barracuda_7_65,93843.75,Vigilance
20250107_barracuda_7_65,102051.95000000001,Moving
20250107_barracuda_7_66,112245.46666666667,Feeding
20250107_barracuda_7_66,119052.26666666666,Bite
20250107_barracuda_7_66,119819.70000000001,Moving
20250107_barracuda_7_67,117150.36666666667,Moving
20250107_barracuda_7_67,119352.56666666668,Predator avoidance
20250107_grouper_0_68,219569.35,Vigilance
20250107_grouper_0_68,317183.5333333333,Moving
20250107_grouper_0_69,225291.73333333337,Moving
20250107_grouper_0_70,239339.1,Moving
20250107_grouper_1_71,187220.36666666667,Moving
20250107_grouper_1_71,202752.55000000002,Vigilance
20250107_grouper_1_71,216032.48333333334,Moving
20250107_grouper_1_72,204053.85,Feeding
20250107_grouper_1_72,209492.61666666667,Bite
20250107_grouper_1_72,212879.33333333334,Bite
20250107_grouper_1_72,214581.03333333335,Bite
20250107_grouper_1_72,222689.13333333333,Bite
20250107_grouper_1_72,229195.63333333336,Bite
20250107_grouper_1_72,230997.43333333332,Bite
20250107_grouper_1_72,245495.25,Bite
20250107_grouper_1_73,213546.6666666667,Moving
20250107_grouper_1_74,233433.2,Vigilance
20250107_grouper_1_74,238471.56666666668,Moving
20250107_grouper_2_75,432899.13333333336,Feeding
20250107_grouper_2_75,433533.10000000003,Bite
20250107_grouper_2_75,434183.75000000006,Bite
20250107_grouper_2_75,435218.1166666667,Bite
20250107_grouper_2_75,436285.85000000003,Bite
20250107_grouper_2_75,440923.8166666667,Bite
20250107_grouper_2_75,443192.75000000006,Bite
20250107_grouper_2_75,444343.9,Bite
20250107_grouper_2_75,448548.10000000003,Moving
20250107_grouper_2_76,434867.76666666666,Feeding
20250107_grouper_2_76,439105.3333333334,Bite
20250107_grouper_2_76,443509.7333333334,Moving
20250107_grouper_2_77,435218.1166666667,Feeding
20250107_grouper_2_77,437470.3666666667,Bite
20250107_grouper_2_77,442842.4,Bite
20250107_grouper_2_77,443776.6666666667,Bite
20250107_grouper_2_77,444393.95,Bite
20250107_grouper_2_77,449799.35,Bite
20250107_grouper_2_77,451784.6666666667,Bite
20250107_grouper_2_77,454353.9,Bite
20250107_grouper_2_77,454587.4666666667,Bite
20250107_grouper_2_77,455905.45,Bite
20250107_grouper_2_77,457006.55,Bite
20250107_grouper_2_77,461327.5333333333,Moving
20250107_grouper_2_78,435601.8333333333,Feeding
20250107_grouper_2_78,435868.7666666667,Bite
20250107_grouper_2_78,436052.2833333334,Bite
20250107_grouper_2_78,436285.85000000003,Bite
20250107_grouper_2_78,438554.7833333334,Bite
20250107_grouper_2_78,439722.6166666667,Bite
20250107_grouper_2_78,441290.85000000003,Bite
20250107_grouper_2_78,444961.18333333335,Vigilance
20250107_grouper_2_78,457773.9833333334,Feeding
20250107_grouper_2_78,458157.7,Bite
20250107_grouper_2_78,458808.35000000003,Bite
20250107_grouper_2_78,463396.26666666666,Bite
20250107_grouper_2_78,468584.7833333333,Bite
20250107_grouper_2_78,471070.60000000003,Bite
20250107_grouper_2_79,436452.68333333335,Moving
20250107_grouper_2_80,449232.1166666667,Vigilance
20250107_grouper_2_81,453686.5666666667,Moving
20250107_grouper_3_82,18435.083333333336,Vigilance
20250107_grouper_4_83,310510.2,Vigilance
20250107_grouper_4_84,315398.4166666667,Vigilance
20250107_grouper_4_85,329062.0666666667,Moving
20250107_grouper_4_86,331681.35000000003,Feeding
20250107_grouper_4_86,333549.88333333336,Bite
20250107_grouper_4_86,335852.18333333335,Bite
20250107_grouper_4_86,337787.45,Bite
20250107_grouper_4_86,338521.51666666666,Bite
20250107_grouper_4_86,340490.15,Bite
20250107_grouper_4_86,342875.8666666667,Bite
20250107_grouper_4_86,346012.3333333334,Bite
20250107_grouper_4_86,349665.9833333334,Bite
20250107_grouper_4_86,352051.7,Bite
20250107_grouper_4_86,357840.8166666667,Bite
20250107_grouper_4_86,367316.95,Moving
20250107_negative-control_0_87,246479.56666666668,Vigilance
20250107_negative-control_0_87,247580.6666666667,Moving
20250107_negative-control_0_88,277610.6666666667,Moving
20250107_negative-control_0_88,278127.85000000003,Vigilance
20250107_negative-control_0_89,280129.85000000003,Vigilance
20250107_negative-control_0_89,280129.85000000003,Moving
20250107_negative-control_0_89,324507.51666666666,Vigilance
20250107_negative-control_1_90,42025.316666666666,Vigilance
20250107_negative-control_3_91,39222.51666666667,Feeding
20250107_negative-control_3_91,45228.51666666667,Bite
20250107_negative-control_3_91,46529.816666666666,Bite
20250107_negative-control_3_91,51251.200000000004,Bite
20250107_negative-control_3_91,53219.833333333336,Bite
20250107_negative-control_3_91,59926.53333333334,Bite
20250107_negative-control_3_91,63296.56666666667,Bite
20250107_negative-control_3_91,64664.600000000006,Bite
20250107_negative-control_3_91,70503.76666666666,Bite
20250107_negative-control_3_91,71471.40000000001,Bite
20250107_negative-control_3_91,72939.53333333333,Bite
20250107_negative-control_3_91,74841.43333333335,Bite
20250107_negative-control_3_91,78328.25,Bite
20250107_negative-control_3_91,89339.25,Bite
20250107_negative-control_3_91,90256.83333333333,Bite
20250107_negative-control_3_91,92442.35,Bite
20250107_negative-control_3_91,93209.78333333334,Bite
20250107_negative-control_3_91,95545.45,Bite
20250107_negative-control_3_91,102035.26666666668,Bite
20250107_negative-control_3_91,103303.2,Bite
20250107_negative-control_3_91,107056.95,Bite
20250107_negative-control_3_92,56473.083333333336,Vigilance
20250107_negative-control_3_92,75291.88333333333,Feeding
20250107_negative-control_3_92,78945.53333333334,Bite
20250107_negative-control_3_92,79529.45,Bite
20250107_positive-control_0_93,174858.0166666667,Vigilance
20250107_positive-control_0_94,185852.33333333334,Moving
20250107_positive-control_0_95,187070.21666666667,Moving
20250107_positive-control_0_96,250600.35,Feeding
20250107_positive-control_0_96,250600.35,Bite
20250107_positive-control_0_96,253536.61666666667,Bite
20250107_positive-control_1_97,25875.85,Moving
20250107_positive-control_1_97,44110.73333333334,Vigilance
20250107_positive-control_1_98,55472.083333333336,Moving
20250107_positive-control_5_99,458241.1166666667,Feeding
20250107_positive-control_5_99,466849.7166666667,Bite
20250107_positive-control_5_99,468251.1166666667,Bite
20250107_positive-control_5_99,471821.35,Bite
20250107_positive-control_5_99,472989.18333333335,Bite
20250107_positive-control_5_99,477927.45,Bite
20250107_positive-control_5_99,482882.4,Bite
20250107_positive-control_5_99,512612.10000000003,Bite
20250107_positive-control_5_99,514180.3333333334,Bite
20250107_positive-control_5_100,464981.18333333335,Feeding
20250107_positive-control_5_100,469585.7833333334,Bite
20250107_positive-control_5_100,470686.88333333336,Bite
20250107_positive-control_5_100,473856.7166666667,Bite
20250107_positive-control_5_100,475158.0166666667,Bite
20250107_positive-control_5_100,476859.71666666673,Bite
20250107_positive-control_5_100,476175.7,Bite
20250107_positive-control_5_100,477577.10000000003,Bite
20250107_positive-control_5_100,478978.5,Bite
20250107_positive-control_5_100,480913.76666666666,Bite
